recommendation,lever,KPI,effect_strength,lag_class,directness,rationale
Build Career Moats for Talent,Elite equity tax exemption for principal-level AI engineers,Net Migration Flow of AI Skills,2,long,direct,Improves after-tax wealth for senior AI talent and reduces the pull of U.S. relocation.
Build Career Moats for Talent,Elite equity tax exemption for principal-level AI engineers,Tortoise Talent Score,2,long,direct,Retention of senior engineers and founders should lift the broad talent composite over time.
Build Career Moats for Talent,Elite equity tax exemption for principal-level AI engineers,AI Hiring Rate YoY Ratio,2,medium,indirect,More competitive compensation should help Canadian firms close more high-end AI hires.
Build Career Moats for Talent,Elite equity tax exemption for principal-level AI engineers,AI Talent Concentration,1,long,indirect,"Keeping principal talent in Toronto, Montreal, and Waterloo should deepen cluster density over time."
Build Career Moats for Talent,Elite equity tax exemption for principal-level AI engineers,Tortoise Commercial Score,1,long,long-run spillover,Retained technical leadership helps firms scale at home instead of selling early or moving abroad.
Build Career Moats for Talent,1:1 salary-matching tax credit for top AI hires,AI Job Postings (% of Total),2,immediate,direct,Lower effective compensation cost should let eligible firms open or sustain more AI roles quickly.
Build Career Moats for Talent,1:1 salary-matching tax credit for top AI hires,AI Hiring Rate YoY Ratio,3,medium,direct,Subsidized compensation directly targets hiring conversion for scarce senior AI talent.
Build Career Moats for Talent,1:1 salary-matching tax credit for top AI hires,Tortoise Talent Score,2,medium,direct,Sustained retention and hiring should flow into the composite talent score within the 1-3 year window.
Build Career Moats for Talent,1:1 salary-matching tax credit for top AI hires,Net Migration Flow of AI Skills,1,long,indirect,Better pay should modestly reduce outward migration and improve Canada’s ability to win relocations.
Build Career Moats for Talent,1:1 salary-matching tax credit for top AI hires,Tortoise Commercial Score,1,long,long-run spillover,Retained senior product and engineering talent supports later firm growth and commercialization.
Build Career Moats for Talent,AI Elite fast-track visa and permanent-residency stream,Net Migration Flow of AI Skills,3,medium,direct,"This lever is designed to increase net inflows of high-skill AI researchers, engineers, and founders."
Build Career Moats for Talent,AI Elite fast-track visa and permanent-residency stream,Tortoise Talent Score,3,medium,direct,A larger in-country stock of elite AI workers should raise the headline talent composite.
Build Career Moats for Talent,AI Elite fast-track visa and permanent-residency stream,Relative AI Skill Penetration,2,long,direct,Bringing in more AI-skilled workers should gradually increase the share of the workforce with AI skills.
Build Career Moats for Talent,AI Elite fast-track visa and permanent-residency stream,AI Talent Concentration,2,medium,indirect,New high-end entrants are likely to cluster around Canada’s existing AI hubs.
Build Career Moats for Talent,AI Elite fast-track visa and permanent-residency stream,AI Hiring Rate YoY Ratio,1,medium,indirect,A larger supply of eligible AI workers should help firms fill open roles faster.
Build Career Moats for Talent,AI Elite fast-track visa and permanent-residency stream,Tortoise Research Score,1,long,long-run spillover,Elite researchers and engineers can strengthen research output after they are embedded in labs and firms.
