phase,assumption_category,assumption_statement,where_used,importance,confidence,notes
Phase 1,Data integrity,Workbook sheet schemas and indicator names are stable across required sheets,src/io/xlsx_package.py and src/scoring/baseline_reproduction.py,high,medium,Loader relies on expected sheet and column names
Phase 1,Scoring model,Composite country score is weighted sum of KPI values and KPI weights,src/scoring/baseline_reproduction.py and src/scoring/baseline_scoring.py,high,high,Core baseline identity for all later phases
Phase 1,Ranking rule,Country rank is recomputed by descending composite score each evaluation point,src/scoring/baseline_reproduction.py,high,high,Used to generate baseline and simulated ranks
Phase 1,Normalization,Input KPI values are already on a comparable scale suitable for weighted aggregation,src/scoring/baseline_reproduction.py,high,medium,No additional z-score normalization step is applied in baseline rebuild
Phase 1,Validation tolerance,Small rounding differences are acceptable if rank order and key scores are preserved,outputs/tables/validation_report.md,medium,high,QA criterion for baseline reproduction
Phase 2,Effect-size parsing,Low base high anchors embedded in text are parseable and represent plausible policy impact bounds,src/scoring/policy_impact_matrix.py,high,medium,Parsing supports coefficient construction used in simulation
Phase 2,Confidence scaling,Confidence labels map to deterministic multipliers that shrink or preserve effect sizes,src/scoring/policy_impact_matrix.py,high,medium,Uncertainty encoded through confidence factor
Phase 2,Lag structure,Lag class categories correctly represent policy delay before measurable KPI impact,data/calibration/calibration_lags.csv and src/simulation/state_transition.py,high,medium,Determines temporal onset of effects
Phase 2,Competitor dynamics,Competitor drift priors approximate exogenous progress in peer and global benchmark countries,data/calibration/competitor_drift.csv and src/simulation/state_transition.py,high,medium,Drift enters quarterly simulation as stochastic term
Phase 2,Implementation schedule,Policy start quarter and rollout intensity values are reasonable schedule proxies,data/calibration/implementation_schedule.csv and src/simulation/state_transition.py,high,low,Decision docs mark schedule confidence as weak/inferred
Phase 3,Additivity,Multiple recommendation effects on the same KPI combine additively before constraints,src/scoring/policy_impact_matrix.py and src/simulation/state_transition.py,high,medium,No interaction terms or nonlinear synergy penalties
Phase 3,Directness weighting,Indirect effects receive lower weight than direct effects by configured multipliers,src/scoring/policy_impact_matrix.py,medium,medium,Controls magnitude for spillover pathways
Phase 3,Coefficient stationarity,Effect coefficients are constant over simulation horizon after lag and rollout modulation,src/simulation/state_transition.py,high,medium,No endogenous learning decay or saturation modeled explicitly
Phase 3,KPI coverage,KPI mapping in impact matrix is sufficiently comprehensive for recommendation scope,data/processed/impact_matrix_long.csv and outputs/tables/impact_matrix_long.csv,medium,medium,Gaps in mapping may understate some channels
Phase 4,Stochastic sampling,Triangular distributions are suitable for uncertain drift and effect shocks under limited evidence,src/simulation/state_transition.py and src/simulation/quarterly_simulation.py,high,medium,Chosen for bounded support and interpretable parameters
Phase 4,Scenario semantics,No action recommendation sets represent mutually interpretable intervention bundles,src/simulation/state_transition.py and outputs/tables/scenario_comparison.csv,high,high,Scenario definitions drive policy comparison outputs
Phase 4,Temporal granularity,Quarterly step size is sufficient to capture policy ramp and KPI response timing,src/simulation/state_transition.py,medium,medium,Finer monthly dynamics are intentionally abstracted
Phase 4,Output quantiles,p10 median p90 adequately summarize distributional uncertainty for reporting,outputs/tables/canada_kpi_trajectories.csv and outputs/tables/canada_rank_trajectory.csv,high,high,Dashboard and report design are quantile-centric
Phase 4,Bounded trajectories,Simulated KPI trajectories remain within plausible domain through clipping or constraints,src/simulation/state_transition.py,high,medium,Prevents unrealistic explosive or negative states
Phase 5,Counterfactual definition,No action trajectory is valid counterfactual baseline for attribution decomposition,src/simulation/recommendation_attribution.py,high,medium,Attribution percentages depend on this anchor
Phase 5,Gap reduction metric,Gap reduction percent is computed relative to baseline gap and is meaningful across KPIs,src/simulation/recommendation_attribution.py and DOCS/DECISIONS/gap_attribution_rules.md,high,high,Core interpretation in recommendation performance claims
Phase 5,Attribution linearity,Per-recommendation contributions can be apportioned without interaction correction,src/simulation/recommendation_attribution.py,high,medium,May misallocate effects when strong interactions exist
Phase 5,Benchmark choice,Peer best and global best are policy-relevant target references,data/processed/success_metrics_tracking.csv and attribution outputs,medium,medium,Benchmark framing influences perceived improvement headroom
Phase 5,Missing KPI handling,Attribution logic handles absent KPI records by skip or safe default without biasing totals,src/simulation/recommendation_attribution.py,medium,medium,Implementation favors robustness over strict completeness
Phase 6,Display policy,Dashboard defaults to median trajectories as central narrative for decision audiences,src/visualization/dashboard_copy_components.py and app/export_dashboard_copies_html_v2.py,high,high,Uncertainty bands are secondary context in visual narrative
Phase 6,Data contract,Dashboard loader required-column checks are sufficient to prevent silent visualization errors,src/dashboard/load_dashboard_data.py,high,high,Guardrail for reproducible rendering
Phase 6,Static export fidelity,Exported standalone HTML preserves interaction and value parity with in-app rendering,app/export_dashboard_copies_html_v2.py and outputs/dashboard/*.html,high,high,Used for submission and evaluator review
Phase 6,Traceability completeness,Traceability matrix covers all headline dashboard numbers and chart sources,outputs/reports/dashboard_traceability_matrix.csv,high,high,Supports auditability and chatbot grounding
Phase 6,Audience interpretation,Users interpret scenario labels and recommendation cards as causal policy comparisons,src/dashboard/dashboard_config.py and dashboard outputs,medium,medium,Requires clear caveats on observational and modeled uncertainty
