dashboard_name,section_name,displayed_item,source_file,source_column_or_field,transformation_rule,verified_yes_no,notes
overview_dashboard_interactive_v2,problems,Canada's AI Talent Paradox,src/dashboard/dashboard_config.py,PROBLEM_CARDS.title,Direct config lookup by recommendation order,yes,Title matches source config
overview_dashboard_interactive_v2,problems,The Commercialization Valley of Death,src/dashboard/dashboard_config.py,PROBLEM_CARDS.title,Direct config lookup by recommendation order,yes,Title matches source config
overview_dashboard_interactive_v2,problems,Weak Market Validation / First-Customer Gap,src/dashboard/dashboard_config.py,PROBLEM_CARDS.title,Direct config lookup by recommendation order,yes,Title matches source config
overview_dashboard_interactive_v2,recommendations,R1 actions,src/dashboard/dashboard_config.py,RECOMMENDATION_CARDS.bullets,Direct config lookup by recommendation id,yes,3 bullets match source
overview_dashboard_interactive_v2,recommendations,R2 actions,src/dashboard/dashboard_config.py,RECOMMENDATION_CARDS.bullets,Direct config lookup by recommendation id,yes,3 bullets match source
overview_dashboard_interactive_v2,recommendations,R3 actions,src/dashboard/dashboard_config.py,RECOMMENDATION_CARDS.bullets,Direct config lookup by recommendation id,yes,3 bullets match source
overview_dashboard_interactive_v2,success_metrics,Core AI team attrition among supported firms,data/processed/success_metrics_tracking.csv,"metric_name,current_value,target_value,recommendation_id",Convert to percentage toward target with lower_is_better direction handling,yes,20 to 15 represented as 75 percent toward target
overview_dashboard_interactive_v2,success_metrics,% of subsidized pilots converting to paid commercial contracts,data/processed/success_metrics_tracking.csv,"metric_name,current_value,target_value,recommendation_id",Convert to percentage toward target with higher_is_better direction handling,yes,25 to 50+ represented using numeric target parse
overview_dashboard_interactive_v2,success_metrics,% of credit-subsidized deployments converting to multi-year commercial contracts,data/processed/success_metrics_tracking.csv,"metric_name,current_value,target_value,recommendation_id",Convert to percentage toward target with higher_is_better direction handling,yes,25 to 50+ represented using numeric target parse
overview_dashboard_interactive_v2,kpi_values,Tortoise Talent Score,outputs/tables/baseline_kpi_scores.csv,"country,kpi,kpi_score",Exact lookup for country=Canada,yes,Baseline value mapped
overview_dashboard_interactive_v2,kpi_values,AI Hiring Rate YoY Ratio,outputs/tables/baseline_kpi_scores.csv,"country,kpi,kpi_score",Exact lookup for country=Canada,yes,Baseline value mapped
overview_dashboard_interactive_v2,kpi_values,Compute Hardware Index,outputs/tables/baseline_kpi_scores.csv,"country,kpi,kpi_score",Exact lookup for country=Canada,yes,Baseline value mapped
overview_dashboard_interactive_v2,kpi_values,Tortoise Commercial Score,outputs/tables/baseline_kpi_scores.csv,"country,kpi,kpi_score",Exact lookup for country=Canada,yes,Baseline value mapped
