recommendation_id,recommendation_name,lever_id,lever_name,KPI,effect_strength,numeric_coefficient,coefficient_scale,lag_class,lag_quarters,ramp_type,directness,rationale,calibration_effect_lever_id,calibration_lag_lever_id,calibration_anchor_scenario,calibration_anchor_value,calibration_effect_direction,calibration_confidence,calibration_mapping_note
rec1,Build Career Moats for Talent,rec1_detail_1,Elite equity tax exemption for principal-level AI engineers,Net Migration Flow of AI Skills,2,0.033127,normalized_0_to_1_additive_delta_at_full_adoption,long,20,front_loaded_then_decay_if_retention_weak,direct,Improves after-tax wealth for senior AI talent and reduces the pull of U.S. relocation.,rec1_lever2,rec1_lever2,base,0.91,positive,weak-to-medium,Borrowed compensation/retention calibration because no exact equity-tax anchor row exists.
rec1,Build Career Moats for Talent,rec1_detail_1,Elite equity tax exemption for principal-level AI engineers,Tortoise Talent Score,2,0.033127,normalized_0_to_1_additive_delta_at_full_adoption,long,20,front_loaded_then_decay_if_retention_weak,direct,Retention of senior engineers and founders should lift the broad talent composite over time.,rec1_lever2,rec1_lever2,base,0.91,positive,weak-to-medium,Borrowed compensation/retention calibration because no exact equity-tax anchor row exists.
rec1,Build Career Moats for Talent,rec1_detail_1,Elite equity tax exemption for principal-level AI engineers,AI Hiring Rate YoY Ratio,2,0.033127,normalized_0_to_1_additive_delta_at_full_adoption,medium,12,front_loaded_then_decay_if_retention_weak,indirect,More competitive compensation should help Canadian firms close more high-end AI hires.,rec1_lever2,rec1_lever2,base,0.91,positive,weak-to-medium,Borrowed compensation/retention calibration because no exact equity-tax anchor row exists.
rec1,Build Career Moats for Talent,rec1_detail_1,Elite equity tax exemption for principal-level AI engineers,AI Talent Concentration,1,0.012349,normalized_0_to_1_additive_delta_at_full_adoption,long,20,front_loaded_then_decay_if_retention_weak,indirect,"Keeping principal talent in Toronto, Montreal, and Waterloo should deepen cluster density over time.",rec1_lever2,rec1_lever2,low,0.78,positive,weak-to-medium,Borrowed compensation/retention calibration because no exact equity-tax anchor row exists.
rec1,Build Career Moats for Talent,rec1_detail_1,Elite equity tax exemption for principal-level AI engineers,Tortoise Commercial Score,1,0.012349,normalized_0_to_1_additive_delta_at_full_adoption,long,20,front_loaded_then_decay_if_retention_weak,long-run spillover,Retained technical leadership helps firms scale at home instead of selling early or moving abroad.,rec1_lever2,rec1_lever2,low,0.78,positive,weak-to-medium,Borrowed compensation/retention calibration because no exact equity-tax anchor row exists.
rec1,Build Career Moats for Talent,rec1_detail_2,1:1 salary-matching tax credit for top AI hires,AI Job Postings (% of Total),2,0.033127,normalized_0_to_1_additive_delta_at_full_adoption,immediate,4,front_loaded_then_decay_if_retention_weak,direct,Lower effective compensation cost should let eligible firms open or sustain more AI roles quickly.,rec1_lever2,rec1_lever2,base,0.91,positive,weak-to-medium,Borrowed compensation/retention calibration because no exact salary-match anchor row exists.
rec1,Build Career Moats for Talent,rec1_detail_2,1:1 salary-matching tax credit for top AI hires,AI Hiring Rate YoY Ratio,3,0.053696,normalized_0_to_1_additive_delta_at_full_adoption,medium,12,front_loaded_then_decay_if_retention_weak,direct,Subsidized compensation directly targets hiring conversion for scarce senior AI talent.,rec1_lever2,rec1_lever2,high,0.935,positive,weak-to-medium,Borrowed compensation/retention calibration because no exact salary-match anchor row exists.
rec1,Build Career Moats for Talent,rec1_detail_2,1:1 salary-matching tax credit for top AI hires,Tortoise Talent Score,2,0.033127,normalized_0_to_1_additive_delta_at_full_adoption,medium,12,front_loaded_then_decay_if_retention_weak,direct,Sustained retention and hiring should flow into the composite talent score within the 1-3 year window.,rec1_lever2,rec1_lever2,base,0.91,positive,weak-to-medium,Borrowed compensation/retention calibration because no exact salary-match anchor row exists.
rec1,Build Career Moats for Talent,rec1_detail_2,1:1 salary-matching tax credit for top AI hires,Net Migration Flow of AI Skills,1,0.012349,normalized_0_to_1_additive_delta_at_full_adoption,long,20,front_loaded_then_decay_if_retention_weak,indirect,Better pay should modestly reduce outward migration and improve Canada’s ability to win relocations.,rec1_lever2,rec1_lever2,low,0.78,positive,weak-to-medium,Borrowed compensation/retention calibration because no exact salary-match anchor row exists.
rec1,Build Career Moats for Talent,rec1_detail_2,1:1 salary-matching tax credit for top AI hires,Tortoise Commercial Score,1,0.012349,normalized_0_to_1_additive_delta_at_full_adoption,long,20,front_loaded_then_decay_if_retention_weak,long-run spillover,Retained senior product and engineering talent supports later firm growth and commercialization.,rec1_lever2,rec1_lever2,low,0.78,positive,weak-to-medium,Borrowed compensation/retention calibration because no exact salary-match anchor row exists.
