"relative_path","category","include_reason","chatbot_priority","runtime_needed","grounding_needed","presentation_qna_useful","result_verification_useful","notes"
"app_or_demo\app\audit_dashboard_accuracy.py","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"app_or_demo\app\dashboard_app.py","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"app_or_demo\app\dashboard_overview_copy.py","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"app_or_demo\app\dashboard_timeline_copy.py","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"app_or_demo\app\export_dashboard_copies_html_v2.py","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"app_or_demo\README.md","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"app_or_demo\requirements.txt","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"app_or_demo\src\dashboard\__init__.py","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"app_or_demo\src\dashboard\dashboard_config.py","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"app_or_demo\src\dashboard\load_dashboard_data.py","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"app_or_demo\src\visualization\__init__.py","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"app_or_demo\src\visualization\dashboard_copy_components.py","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"app_or_demo\src\visualization\dashboard_export.py","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_core\MIE1624_Final_Report_WithCharts.docx","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_core\MIE1624_Final_Report_WithSuccessMetrics.docx","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_core\outputs\reports\dashboard_accuracy_audit.md","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_core\outputs\reports\dashboard_build_notes.md","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_core\outputs\reports\dashboard_corrections_summary.md","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_core\outputs\reports\dashboard_data_inventory.md","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_core\outputs\reports\dashboard_issue_log.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_core\outputs\reports\dashboard_traceability_matrix.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_core\outputs\reports\dashboard_unresolved_dependencies.md","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_core\outputs\reports\MIE1624_Final_Report_Section_ExpectedResults_Conclusion.docx","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_core\outputs\tables\baseline_country_scores.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_core\outputs\tables\baseline_kpi_scores.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_core\outputs\tables\canada_kpi_trajectories.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_core\outputs\tables\canada_rank_trajectory.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_core\outputs\tables\country_quarter_scores.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_core\outputs\tables\impact_matrix.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_core\outputs\tables\impact_matrix_long.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_core\outputs\tables\kpi_gap_reduction_by_recommendation.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
"context_core\outputs\tables\kpi_gap_reduction_global_best.csv","reference","Supports chatbot grounding and traceable answers.","medium","no","yes","yes","no",""
